ticker_symbol,security_name,gics_sector,gics_sub_industry,headquarters
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota"
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin"
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois"
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois"
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland"
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California"
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California"
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia"
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia"
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California"
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania"
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California"
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts"
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina"
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California"
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona"
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland"
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin"
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois"
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California"
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California"
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia"
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington"
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom"
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri"
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio"
AXP,American Express,Financials,Consumer Finance,"New York City, New York"
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York"
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts"
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey"
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota"
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania"
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California"
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut"
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts"
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom"
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York"
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California"
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California"
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland"
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda"
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois"
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California"
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois"
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia"
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas"
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas"
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California"
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey"
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee"
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia"
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio"
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona"
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado"
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina"
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois"
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey"
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska"
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota"
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota"
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts"
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York"
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York"
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,none
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York"
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia"
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut"
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts"
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York"
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California"
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York"
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida"
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky"
